%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.NumSat,field.latitude,field.longitude,field.altitude,field.speed,field.ground_course,field.covariance
1511903708310583239,3043,1511903708309300899,/gps,1,7,40.2678858333,-111.634426833,1497.3,0.0380688888889,6.00497982441,3.4225
1511903708511635635,3044,1511903708510618925,/gps,1,7,40.2678861667,-111.634426,1496.9,0.13427,6.00497982441,3.4225
1511903708714791781,3045,1511903708713685989,/gps,1,7,40.2678865,-111.634425667,1496.6,0.224812222222,6.00497982441,3.4225
1511903708912952875,3046,1511903708910830020,/gps,1,7,40.2678861667,-111.634425667,1496.6,0.073051111111,6.00497982441,3.4225
1511903709112194541,3047,1511903709111222982,/gps,1,7,40.2678851667,-111.6344255,1496.8,0.121923333333,6.00497982441,3.4225
1511903709311560426,3048,1511903709310507059,/gps,1,7,40.2678855,-111.634424667,1496.6,0.25928,6.00497982441,3.4225
1511903709511927249,3049,1511903709510567903,/gps,1,7,40.267885,-111.6344245,1496.7,0.0699644444444,6.00497982441,3.4225
1511903709711974020,3050,1511903709710762023,/gps,1,7,40.2678838333,-111.634424,1496.9,0.294776666666,6.00497982441,3.4225
1511903709911339541,3051,1511903709910145998,/gps,1,7,40.2678836667,-111.634423667,1496.8,0.103403333333,6.00497982441,3.4225
1511903710109589853,3052,1511903710108603954,/gps,1,7,40.2678846667,-111.6344235,1496.5,0.325128888889,6.00497982441,3.4225
1511903710311344489,3053,1511903710310404062,/gps,1,7,40.2678855,-111.6344235,1496.0,0.330273333333,6.00497982441,3.4225
1511903710512409436,3054,1511903710511079072,/gps,1,7,40.2678855,-111.6344235,1495.9,0.0653344444444,6.00497982441,3.4225
1511903710716643343,3055,1511903710715503931,/gps,1,7,40.2678855,-111.634423667,1495.7,0.206806666666,6.00497982441,3.4225
1511903710912665738,3056,1511903710911606073,/gps,1,7,40.2678853333,-111.634424333,1495.6,0.462485555555,6.00497982441,3.4225
1511903711111795738,3057,1511903711110760927,/gps,1,7,40.2678851667,-111.634425,1495.4,0.511357777777,6.00497982441,3.4225
1511903711313117301,3058,1511903711312391042,/gps,1,7,40.2678855,-111.6344255,1495.2,0.227384444444,6.00497982441,3.4225
1511903711510531467,3059,1511903711509536027,/gps,1,7,40.2678858333,-111.634425833,1495.2,0.246418888889,6.00497982441,3.4225
1511903711712147196,3060,1511903711711031913,/gps,1,7,40.267885,-111.634426667,1495.4,0.209893333333,6.00497982441,3.4225
1511903711912917300,3061,1511903711911781072,/gps,1,7,40.2678843333,-111.634428,1495.6,0.297348888889,6.00497982441,3.4225
1511903712112346936,3062,1511903712111527919,/gps,1,7,40.2678838333,-111.634429333,1495.7,0.26391,6.00497982441,3.4225
1511903712312394488,3063,1511903712311429977,/gps,1,7,40.2678833333,-111.634430333,1495.7,0.0941433333333,6.00497982441,3.4225
1511903712511817613,3064,1511903712510756015,/gps,1,7,40.267884,-111.634430333,1495.4,0.346735555555,6.00497982441,3.4225
1511903712717616311,3065,1511903712716526031,/gps,1,7,40.267884,-111.634430333,1495.2,0.221725555555,6.00497982441,3.4225
1511903712910454852,3066,1511903712908942937,/gps,1,7,40.2678828333,-111.634431,1495.5,0.193945555555,6.00497982441,3.4225
1511903713111248758,3067,1511903713110029935,/gps,1,7,40.2678826667,-111.634431,1495.5,0.18057,6.00497982441,3.4225
1511903713311543810,3068,1511903713310189962,/gps,1,7,40.2678826667,-111.634430667,1495.4,0.18983,6.00497982441,3.4225
1511903713511796623,3069,1511903713510644912,/gps,1,7,40.267882,-111.634431,1495.5,0.218124444444,6.00497982441,3.4225
1511903713711278654,3070,1511903713710122108,/gps,1,7,40.2678815,-111.634431333,1495.6,0.0622477777777,6.00497982441,3.4225
1511903713913257404,3071,1511903713911869049,/gps,1,7,40.2678813333,-111.634432,1495.6,0.119351111111,6.00497982441,3.4225
1511903714113476362,3072,1511903714111543893,/gps,1,7,40.2678808333,-111.634433167,1495.8,0.29632,6.00497982441,3.4225
1511903714310767977,3073,1511903714309043884,/gps,1,7,40.2678803333,-111.634434,1495.8,0.108033333333,6.00497982441,3.4225
1511903714514226258,3074,1511903714512551069,/gps,1,7,40.2678811667,-111.634434333,1495.6,0.637911111111,6.00497982441,3.4225
1511903714720595997,3075,1511903714718852996,/gps,1,7,40.2678816667,-111.634435833,1495.8,0.738227777777,6.00497982441,3.4225
1511903714914769174,3076,1511903714912925004,/gps,1,7,40.2678821667,-111.634436833,1495.7,0.482034444444,6.00497982441,3.4225
1511903715115760424,3077,1511903715113840103,/gps,1,7,40.2678825,-111.634438,1496.0,1.19299666667,6.2549109733,3.4225
1511903715314935060,3078,1511903715312839984,/gps,1,7,40.2678841667,-111.634437333,1495.8,0.515987777777,6.2549109733,3.4225
1511903715515406622,3079,1511903715513838052,/gps,1,7,40.267886,-111.634437,1495.6,0.36577,6.2549109733,3.4225
1511903715711813184,3080,1511903715710750102,/gps,1,7,40.2678863333,-111.634437667,1495.7,0.110091111111,6.2549109733,3.4225
1511903715914305580,3081,1511903715913568973,/gps,1,7,40.2678861667,-111.634438167,1495.8,0.260823333333,6.2549109733,3.4225
1511903716113029486,3082,1511903716111973047,/gps,1,7,40.267887,-111.6344375,1495.6,0.616304444444,6.2549109733,3.4225
1511903716313024799,3083,1511903716311939954,/gps,1,7,40.2678881667,-111.634437167,1495.5,0.386862222222,6.2549109733,3.4225
1511903716511844122,3084,1511903716511049985,/gps,1,7,40.2678885,-111.634438333,1495.7,0.0591611111111,6.2549109733,3.4225
1511903716717800319,3085,1511903716716789960,/gps,1,7,40.2678886667,-111.634439,1495.7,0.205263333333,6.2549109733,3.4225
1511903716912316101,3086,1511903716911257982,/gps,1,7,40.2678886667,-111.63444,1495.8,0.0432133333333,6.2549109733,3.4225
1511903717110961569,3087,1511903717109503984,/gps,1,7,40.2678885,-111.634440833,1495.9,0.0668777777777,6.2549109733,3.4225
1511903717312126257,3088,1511903717310940980,/gps,1,7,40.2678886667,-111.6344415,1496.0,0.420815555555,6.2549109733,3.4225
1511903717511334069,3089,1511903717510481119,/gps,1,7,40.2678891667,-111.634441667,1496.0,0.530906666666,6.2549109733,3.4225
1511903717713646257,3090,1511903717711407899,/gps,1,7,40.26789,-111.634441167,1496.0,0.854492222221,6.2549109733,3.4225
1511903717912880579,3091,1511903717911891937,/gps,1,7,40.2678915,-111.634439833,1496.0,1.05666888889,6.2549109733,3.4225
1511903718112594017,3092,1511903718111525058,/gps,1,7,40.2678923333,-111.6344395,1496.1,0.387891111111,6.2549109733,3.4225
1511903718312610163,3093,1511903718311790943,/gps,1,7,40.2678928333,-111.634439167,1496.2,0.374001111111,6.2549109733,3.4225
1511903718513240996,3094,1511903718511883974,/gps,1,7,40.267893,-111.634439167,1496.3,0.17594,6.2549109733,3.4225
